name,functions,color,precision,company,productURL,photoURL,oversampling,favorite,rating,status,notes
V-Comp,,,,Waves,https://www.waves.com/plugins/v-comp#eddie-kramer-hardware-modeling-v-series,Waves_V-Comp.png,FALSE,-,3,Active,-
V-EQ3,,,,Waves,https://www.waves.com/plugins/v-eq3#how-to-mix-silky-smooth-vocals-with-v-series,Waves_V-EQ3.png,FALSE,TRUE,3,Active,-
V-EQ4,,,,Waves,https://www.waves.com/plugins/v-eq4#how-to-mix-silky-smooth-vocals-with-v-series,Waves_V-EQ4.png,FALSE,TRUE,3,Active,-
VD-PHAT,,,,Ujam,https://www.ujam.com/drummer/phat/,Ujam_VD-PHAT.png,FALSE,-,3,Active,"Virtual%20Drummer%20PHAT%20is%20a%20slick%20and%20funky%20Hip-hop%20operator,%20producing%20grooves,%20fills%20and%20breaks%20straight%20from%20the%20street!%20Ready%20at%20any%20time%20to%20quickly%20lay%20down%20entire%20beats%20and%20rhythms%20that%20will%20make%20your%20body%20move%20and%20keep%20the%20MC%20nodding%20their%20head."
Vertigo VSM-3,,,,Vertigo Sound,https://www.plugin-alliance.com/en/products/vertigo_vsm-3.html,Vertigo-Sound_Vertigo-VSM-3.png,FALSE,TRUE,4,Active,"2nd%20Harmonic%20FET%20Crusher%20and%203rd%20harmonic%20Zener%20Blender%0AThe%20Vertigo%20Sound%20VSM-3%20is%20a%20powerful%20tone%20and%20color%20box,%20saturator,%20and%20distortion%20unit%20with%20two%20unique%20circuitry%20options.%20Add%20warmth%20and%20richness%20to%20your%20mixes%20using%20the%202nd%20Harmonic%20FET%20Crusher,%20or%20brightness%20and%20detail%20with%20the%203rd%20Harmonic%20Zener%20Blender.%20You%20also%20have%20the%20option%20of%20mixing%20the%20Crusher%20and%20Blender%20output%20together."
VintageVerb,,,,Valhalla,https://valhalladsp.com/shop/reverb/valhalla-vintage-verb/,Valhalla_VintageVerb.png,FALSE,TRUE,4,Active,Valhalla%20VintageVerb%EF%BF%BD%20features%2019%20classic%20digital%20reverbs%20and%203%20color%20modes%20inspired%20by%20the%20most%20beloved%20reverb%20hardware%20from%20the%201970s%20and%201980s.%0A%0AReverb%20Modes:%20Concert%20Hall%20/%20Bright%20Hall%20/%20Plate%20/%20Room%20/%20Chamber%20/%20Random%20Space%20/%20Chorus%20Space%20/%20Ambience%20/%20Sanctuary%20/%20Dirty%20Hall%20/%20Dirty%20Plate%20/%20Smooth%20Plate%20/%20Smooth%20Room%20/%20Smooth%20Random%20/%20Nonlin%20/%20Chaotic%20Hall%20/%20Chaotic%20Chamber%20/%20Chaotic%20Neutral%20/%20Cathedral%20(new%20in%202.2.0)
Vinyl,,,,Izotope,https://www.izotope.com/en/products/vinyl.html,Izotope_Vinyl.png,FALSE,-,3,Active,"Vinyl%20now%20includes%20the%20Lo-fi%20Effect.%20Apply%20the%20saturated,%20worn%20timbre%20of%20late-80s%20hip-hop%20in%20an%20instant.%20Sampled%20records%20from%20this%20era%20have%20a%20unique%20tone%20created%20by%20the%20gear%20of%20the%20era.%20Lo-fi%20enables%20you%20to%20color%20with%20the%20character%20of%20secondhand%20vinyl%20to%20add%20a%20soulful,%20nostalgic%20feel%20to%20your%20music."
Vital,,,,Vital Audio,https://vital.audio/,Vital-Audio_Vital.png,FALSE,TRUE,3,Active,"Vital%20is%20a%20spectral%20warping%20wavetable%20software%20synthesizer%20plugin.%20%20Vital%20offers%20a%20load%20of%20interesting%20features,%20including:%203%20oscillators%20which%20provide%20various%20waveforms%20as%20well%20as%20drawable%20wavetable%20and%20text-to-wave%20capabilities,%20a%20sample-noise%20sound%20source,%20two%20filters%20with%20a%20variety%20of%20filter%20types,%20three%20DAHDSR%20envelopes,%20LFO's%20and%20a%20lot%20of%20modulation%20routing%20possibilities.%20A%20series%20of%20effects%20are%20provided,%20such%20as%20Chorus,%20Delay,%20Compressor,%20Flanger,%20Reverb%20and%20even%20an%20additional%20Filter.%20Microtonal%20scaling%20and%20MPE%20support%20are%20provided.%20Preset%20management%20is%20straight-forward,%20with%20search%20and%20category%20features,%20and%20presets%20can%20be%20deleted%20or%20moved%20among%20directories%20from%20within%20the%20synth%20dialog%20window%20itself."
Vitamin Sonic Enhancer,,,,Waves,https://www.waves.com/plugins/vitamin#when-eq-isnt-enough-to-boost-masters-vitamin,Waves_Vitamin-Sonic-Enhancer.png,FALSE,-,3,Active,-
Vocal Rider,,,,Waves,https://www.waves.com/plugins/vocal-rider,Waves_Vocal-Rider.png,FALSE,TRUE,4,Active,-
VOS SlickEQ,,,,Tokyo Dawn Records,https://www.tokyodawn.net/tdr-vos-slickeq/,Tokyo-Dawn-Records_VOS-SlickEQ.png,FALSE,-,3,Active,"Three%20(and%20a%20half)%20filter-bands%20arranged%20in%20a%20classic%20Low/Mid/High%20semi-parametric%20layout%20offer%20fast%20and%20intuitive%20access%20to%20four%20distinct%20EQ%20modes,%20each%20representing%20a%20set%20of%20distinct%20EQ%20curves%20and%20behaviors.%20An%20elaborate%20auto%20gain%20option%20automatically%20compensates%20for%20changes%20of%20perceived%20loudness%20during%20EQ%20operation.%20Optionally,%20SlickEQ%20allows%20to%20exclusively%20process%20either%20the%20stereo%20sum%20or%20stereo%20difference%20(i.e.%20%EF%BF%BDstereo%20width%EF%BF%BD)%20without%20additional%20sum/difference%20encoding."
VREV-666,,,,Fuse Audio,https://fuseaudiolabs.com/#/pages/product?id=301009892,Fuse-Audio_VREV-666.png,FALSE,-,3,Active,"STEEL%20WIRE%20STYLE%0AThe%20VREV-666%20is%20an%20incredibly%20rare%20spring%20reverb%20from%20the%201960s%20that%20was%20initially%20designed%20to%20alter%20the%20apparent%20acoustic%20properties%20of%20listening%20environments.%20Originally%20built%20for%20the%20BBC,%20this%20compact%20studio%20legend%20oozes%20the%20typical%20rich,%20bouncy,%20and%20unpredictable%20vibe%20of%20a%20true%20electromechanical%20reverb%20in%20a%20very%20authentic%20way.%0A%0AAMBIENCE%20WITH%20ATTITUDE%0AThe%20VREV-666%20is%20not%20the%20most%20realistic%20reverb%20in%20the%20world%20%EF%BF%BD%20and%20that%EF%BF%BDs%20the%20beauty%20of%20it.%20Sending%20any%20signal%20through%20its%20springs%20will%20always%20result%20in%20something%20vibrant%20and%20charismatic.%20It%20can%20add%20an%20edge%20to%20your%20vocals,%20dirty%20ambience%20to%20your%20synth,%20gritty%20room%20tone%20to%20your%20guitar%20and%20bass,%20or%20some%20cool%20finishing%20textures%20to%20your%20favorite%20instruments...you%20name%20it."
VU Meter,,,,Waves,https://www.waves.com/plugins/vu-meter,Waves_VU-Meter.png,FALSE,-,4,Active,-
Vybz,,,,Thenatan,https://www.thenatan.store/p/vybz-fx-plugin/,Thenatan_Vybz.png,FALSE,TRUE,5,Active,"A%20Swiss%20Army%20Knife%20that%20includes%20everything%20about%20a%20modern%20or%20classic%20wet%20tone%20and%20it%20looks%20great%20while%20doing%20it.%0AWith%20Vybz%20ultimate%20all-purpose%20Effect%20modules,%20You%20can%20Colorize%20your%20mixes%20And%20Crank%20it%20back%20a%20few%20decades%20when%20snaps,%20crackles,%20and%20pops%20were%20a%20necessary%20part%20of%20the%20experience."
Waves Tune LT,,,,Waves,https://www.waves.com/plugins/waves-tune-lt,Waves_Waves-Tune-LT.png,FALSE,-,3,Active,-
WNS Noise Suppressor,,,,Waves,https://www.waves.com/plugins/wns-noise-suppressor,Waves_WNS-Noise-Suppressor.png,FALSE,-,3,Active,-
