name,functions,color,precision,company,productURL,photoURL,oversampling,favorite,rating,status,"notes"
KABIN-new,,,,Analog Obsession,https://www.patreon.com/posts/kabin-43454405,https://c10.patreonusercontent.com/4/patreon-media/p/post/43454405/bb71e2fddd1f417d9b9f3fdc7da8429d/eyJ3Ijo2MjB9/1.png?token-time=1657843200&token-hash=94UCNRzlBHouHeFy295wMjYO2ccB4jQgv0bBZhOwavU%3D,false,-,3,Active,"KABIN%20is%20a%20universal%20guitar%20cabinet%20modeler.%0AYou%20can%20create%20different%20spiker/cabinet%20models%20with%20SIZE%20and%20CHARACTER%20options%20and%20shape%20tone%20with%20microphone%20placement.%0A%0ASIZE%20:%20You%20can%20set%20spiker%20and%20cabinet%20size%20and%20response%20with%20SIZE%20knob.%20Spiker/Cabinet%20size%20can%20be%20changed%20battery-powered%20guitar%20amp%20cab%20to%201_12.%20While%20your%20spiker%20size%20goes%20to%20smaller,%20cabinet%20size%20will%20go%20smaller,%20too.%0A%0ACHARACTER%20:%20Will%20set%20character%20of%20spiker%20and%20cabinet.%20Soft%20to%20Punch.%20Soft%20will%20give%20smoother%20mid%20response%20(mostly%20low%20mid)%20and%20Punch%20will%20give%20fuller%20mid%20response.%20Not%20only%20frequency%20changes.%20Also,%20dynamic%20response.%0A%0AMICROPHONE%20:%20There%20is%20a%20mic%20(Modeled%20Tube%20Mic)%20in%20front%20of%20cabinet.%20You%20can%20move%20it%20left%20to%20right.%20In%20default,%20it%EF%BF%BDs%20placed%20center.%20You%20can%20move%20mic%20to%20right%20to%20get%20off-axis%20placement.%0A%0AOUTPUT%20:%20Will%20set%20main%20output.%20Inf%20to%20+12dB.%0A%0AKABIN%20:%20It%EF%BF%BDs%20also%20bypass%20button.%20Red%20is%20active,%20white%20is%20bypassed."
Knif Audio Knifonium,/Instruments,/Vintage ('60's & Earlier)/70's/80's/Extreme,/Vibey Analog,Brainworx,https://www.plugin-alliance.com/en/products/knif_audio_knifonium.html,https://imgs.search.brave.com/hRHPxW8kOAyarO6u9QuPFzUirEyJNdv1mFejH9ZU04Q/rs:fit:660:375:1/g:ce/aHR0cHM6Ly93d3cu/YXR0YWNrbWFnYXpp/bmUuY29tL3dwLWNv/bnRlbnQvdXBsb2Fk/cy8yMDIwLzA4L1Nj/cmVlbi1TaG90LTIw/MjAtMDgtMDYtYXQt/MTUuNTIuMjMtNjYw/eDM3NS5wbmc,false,true,5,Active,"-"
Kotelnikov GE,,,,Tokyo Dawn Records,https://www.tokyodawn.net/tdr-kotelnikov-ge/,https://www.tokyodawn.net/wp-content/uploads/2018/06/KotelnikovGE_3.png,true,true,4,Active,"DR%20Kotelnikov%20is%20a%20wideband%20dynamics%20processor%20combining%20high%20fidelity%20dynamic%20range%20control%20with%20deep%20musical%20flexibility.%20As%20a%20descendant%20of%20the%20venerable%20TDR%20Feedback%20Compressor%20product%20family,%20Kotelnikov%20has%20directly%20inherited%20several%20unique%20features%20such%20as%20a%20proven%20control%20scheme,%20individual%20release%20control%20for%20peak%20and%20RMS%20content,%20an%20intuitive%20user%20interface,%20and%20powerful,%20state%20of%20the%20art,%20high-precision%20algorithms."
Krush,,,,Tritik,https://www.tritik.com/product/krush/,https://cdn.tritik.com/uploads/krush_v1.0.2_dark.png,false,-,3,Active,"With%20its%20bit%20crushing%20and%20downsampling%20algorithms,%20Krush%20combines%20the%20crispy%20taste%20of%20the%20digital%20realm%20with%20the%20warmth%20of%20its%20drive%20stage%20and%20analog%20modeled%20resonant%20filters.%20A%20modulation%20section%20allows%20you%20to%20quickly%20add%20extra%20life%20to%20the%20sound%20by%20modulating%20any%20parameter.%0A%0AThe%20sound%20palette%20produced%20by%20Krush%20ranges%20from%20the%20dirtiest%20digital%20effects%20to%20crunchy%20modulated%20colours,%20with%20all%20the%20classic%20and%20weirdest%20bit-crushing%20effects%20in%20between."
L1 Ultramaximizer,,,,Waves,https://www.waves.com/plugins/l1-ultramaximizer,https://img.wavescdn.com/1lib/images/products/plugins/preview/l1-ultramaximizer.png,false,-,3,Active,"-"
L2 Ultramaximizer,,,,Waves,https://www.waves.com/plugins/l2-ultramaximizer#how-to-limit-mixes-masters-peak-limiters,https://img.wavescdn.com/1lib/images/products/plugins/preview/l2-ultramaximizer.png,false,-,3,Active,"-"
L3 Ultramaximizer,,,,Waves,https://www.waves.com/plugins/l3-ultramaximizer#introduction-to-the-l3-and-l3-ll-multimaximizers,https://img.wavescdn.com/1lib/images/products/plugins/preview/l3-ultramaximizer.png,false,-,3,Active,"-"
L3-16 Multimaximizer,,,,Waves,https://www.waves.com/plugins/l3-16-multimaximizer,https://img.wavescdn.com/1lib/images/products/plugins/preview/l3-16-multimaximizer.png,false,true,3,Active,"-"
L3-LL Ultramaximizer,,,,Waves,https://www.waves.com/plugins/l3-ll-ultramaximizer,https://img.wavescdn.com/1lib/images/products/plugins/preview/l3-ll-ultramaximizer.png,false,-,3,Active,"-"
LALA,/Compressor/Harmonics,/70's/80's,/Vibey Analog,Analog Obsession,https://www.patreon.com/posts/lala-36128829,https://c10.patreonusercontent.com/4/patreon-media/p/post/36128829/17619d558304448aaf69e35344a72a5c/eyJ3Ijo2MjB9/1.jpg?token-time=1657843200&token-hash=NtbNa080OrPvmbTlmPwL4Kia4o3k4mwhdRqSBhLTtxU%3D,true,-,3,Active,"LALA%20update%20is%20ready%20to%20go%20with%20new%20features,%20improved%20DSP,%20alternative%20skins%20and%20more!%0A%0AFeatures%0A%0A-%20PEAK%20REDUCTION:%20Simply,%20it's%20threshold%20setting.%20Will%20set%20you%20compression%20level.%0A%0A-%20GAIN:%20Make%20up%20gain%0A%0A-%20LIMIT:%20When%20you%20engage,%20it%20will%20work%20as%20limiter.%20Otherwise,%20it%20will%20react%20as%20compressor.%0A%0A-%20EXT:%20External%20side%20chain%20option.%20You%20will%20still%20be%20to%20use%20sidechain%20filter%20with%20external%20sidechain.%0A%0A-%20HPF:%20Will%20cut%20low%20end.%0A%0A-%20MF%20/%20MG:%20-%20Will%20set%20sensitivity%20of%20compressor%20for%20mid%20frequencies.%0A%0A-%20HF%20-%20Will%20set%20sensitivity%20of%20compressor%20for%20high%20frequencies%20(Enhanced%20version%20of%20original%20unit's%20R37%20setting)%0A%0A-%20ANALOG%20OBSESSION%20LOGO:%20Oversampling.%20It%20will%20turn%20to%20red%20when%20oversampling%20is%20engaged.%20Also,%20show%20you%20a%20notification.%0A%0A-%20POWER:%20Bypass%20button"
